6704480	3070494	6704480	3081788	6693186	3081788	6693186	3070494	003412
6703116	3080424	6703116	3085126	6692728	3085126	6692728	3080424	003415
6715772	3061928	6715772	3073224	6704478	3073224	6704478	3061928	004307
6714408	3071858	6714408	3086264	6702686	3086264	6702686	3071858	004310
6724336	3073222	6724336	3087404	6712644	3087404	6712644	3073222	004311
6734264	3074588	6734264	3088544	6722602	3088544	6722602	3074588	004312
6661580	3093462	6661580	3104350	6650692	3104350	6650692	3093462	101105
6660672	3103440	6660672	3114326	6649786	3114326	6649786	3103440	101108
6670648	3104348	6670648	3115234	6659762	3115234	6659762	3104348	101109
6659764	3113418	6659764	3124302	6648878	3124302	6648878	3113418	101111
6669740	3114324	6669740	3125210	6658854	3125210	6658854	3114324	101112
6692424	3086208	6692424	3097098	6681534	3097098	6681534	3086208	101202
6702402	3087118	6702402	3098008	6691512	3098008	6691512	3087118	101203
6681536	3095278	6681536	3106166	6670646	3106166	6670646	3095278	101204
6691514	3096186	6691514	3107076	6680624	3107076	6680624	3096186	101205
6701492	3097096	6701492	3107986	6690602	3107986	6690602	3097096	101206
6680626	3105256	6680626	3116142	6669738	3116142	6669738	3105256	101207
6690604	3106164	6690604	3117052	6679716	3117052	6679716	3106164	101208
6700580	3107074	6700580	3117962	6689692	3117962	6689692	3107074	101209
6679718	3115232	6679718	3126118	6668830	3126118	6668830	3115232	101210
6689694	3116140	6689694	3127028	6678806	3127028	6678806	3116140	101211
6699670	3117050	6699670	3127938	6688782	3127938	6688782	3117050	101212
6692750	3082626	6692750	3087120	6682442	3087120	6682442	3082626	101214
6702708	3083762	6702708	3088032	6692422	3088032	6692422	3083762	101215
6658856	3123394	6658856	3134278	6647972	3134278	6647972	3123394	101302
6668832	3124300	6668832	3135186	6657948	3135186	6657948	3124300	101303
6647974	3132464	6647974	3143346	6637092	3143346	6637092	3132464	101304
6657950	3133370	6657950	3144254	6647066	3144254	6647066	3133370	101305
6667924	3134276	6667924	3145160	6657040	3145160	6657040	3134276	101306
6647068	3142438	6647068	3153320	6636186	3153320	6636186	3142438	101307
6657042	3143344	6657042	3154226	6646160	3154226	6646160	3143344	101308
6667016	3144252	6667016	3155134	6656134	3155134	6656134	3144252	101309
6646162	3152414	6646162	3163294	6635282	3163294	6635282	3152414	101310
6656136	3153318	6656136	3164200	6645254	3164200	6645254	3153318	101311
6666110	3154224	6666110	3165108	6655228	3165108	6655228	3154224	101312
6678808	3125208	6678808	3136094	6667922	3136094	6667922	3125208	101401
6688784	3126116	6688784	3137004	6677898	3137004	6677898	3126116	101402
6698760	3127026	6698760	3137912	6687872	3137912	6687872	3127026	101403
6677900	3135184	6677900	3146068	6667014	3146068	6667014	3135184	101404
6687874	3136092	6687874	3146978	6676988	3146978	6676988	3136092	101405
6697848	3137002	6697848	3147888	6686962	3147888	6686962	3137002	101406
6676990	3145158	6676990	3156042	6666108	3156042	6666108	3145158	101407
6686964	3146066	6686964	3156950	6676080	3156950	6676080	3146066	101408
6696938	3146976	6696938	3157860	6686054	3157860	6686054	3146976	101409
6676082	3155132	6676082	3166014	6665200	3166014	6665200	3155132	101410
6686056	3156040	6686056	3166924	6675172	3166924	6675172	3156040	101411
6696028	3156948	6696028	3167832	6685144	3167832	6685144	3156948	101412
6712666	3084900	6712666	3098920	6701490	3098920	6701490	3084900	102101
6722624	3086038	6722624	3099832	6711466	3099832	6711466	3086038	102102
6732582	3087178	6732582	3100744	6721444	3100744	6721444	3087178	102103
6711468	3098006	6711468	3108896	6700578	3108896	6700578	3098006	102104
6721446	3098918	6721446	3109808	6710556	3109808	6710556	3098918	102105
6731424	3099830	6731424	3110722	6720532	3110722	6720532	3099830	102106
6710558	3107984	6710558	3118874	6699668	3118874	6699668	3107984	102107
6720534	3108894	6720534	3119786	6709644	3119786	6709644	3108894	102108
6730510	3109806	6730510	3120698	6719620	3120698	6719620	3109806	102109
6709646	3117960	6709646	3128848	6698758	3128848	6698758	3117960	102110
6719622	3118872	6719622	3129760	6708732	3129760	6708732	3118872	102111
6729598	3119784	6729598	3130672	6718708	3130672	6718708	3119784	102112
6739572	3120696	6739572	3131586	6728682	3131586	6728682	3120696	102210
6708734	3127936	6708734	3138824	6697846	3138824	6697846	3127936	102301
6718710	3128846	6718710	3139736	6707822	3139736	6707822	3128846	102302
6728684	3129758	6728684	3140648	6717796	3140648	6717796	3129758	102303
6707824	3137910	6707824	3148798	6696936	3148798	6696936	3137910	102304
6717798	3138822	6717798	3149708	6706910	3149708	6706910	3138822	102305
6727772	3139734	6727772	3150620	6716884	3150620	6716884	3139734	102306
6706912	3147886	6706912	3158770	6696026	3158770	6696026	3147886	102307
6716886	3148796	6716886	3159682	6706000	3159682	6706000	3148796	102308
6726860	3149706	6726860	3160594	6715972	3160594	6715972	3149706	102309
6706002	3157858	6706002	3168744	6695116	3168744	6695116	3157858	102310
6715974	3158768	6715974	3169654	6705088	3169654	6705088	3158768	102311
6725946	3159680	6725946	3170566	6715060	3170566	6715060	3159680	102312
6738660	3130670	6738660	3141560	6727770	3141560	6727770	3130670	102401
6737746	3140646	6737746	3151534	6726858	3151534	6726858	3140646	102404
6736832	3150618	6736832	3161506	6725944	3161506	6725944	3150618	102407
6746806	3151532	6746806	3162420	6735918	3162420	6735918	3151532	102408
6735920	3160592	6735920	3171478	6725032	3171478	6725032	3160592	102410
6745892	3161504	6745892	3172392	6735004	3172392	6735004	3161504	102411
6755864	3162418	6755864	3173306	6744976	3173306	6744976	3162418	102412
6645256	3162386	6645256	3173266	6634376	3173266	6634376	3162386	103101
6655230	3163292	6655230	3174172	6644348	3174172	6644348	3163292	103102
6665202	3164198	6665202	3175080	6654320	3175080	6654320	3164198	103103
6644350	3172360	6644350	3183238	6633472	3183238	6633472	3172360	103104
6654322	3173264	6654322	3184144	6643444	3184144	6643444	3173264	103105
6664294	3174170	6664294	3185050	6653414	3185050	6653414	3174170	103106
6643446	3182330	6643446	3193208	6632568	3193208	6632568	3182330	103107
6653416	3183236	6653416	3194114	6642538	3194114	6642538	3183236	103108
6663388	3184142	6663388	3195022	6652508	3195022	6652508	3184142	103109
